Severity,Issue,FANS Row,FANS Name,System ID,System Name,Expected Pass Tier,System Pass Tier,Expected Pass Subcategory,System Award Category,System Champion Category,Pass Slug,Unique Pass ID,View Count,First Checked In At,Suggested Correction
High,Pass tier/category differs,22,Mr Abhishek Karnani,usr_fa81722dcbdc4d34b678,Abhishek Karnani,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,mr-abhishek-karnani,0ba3d973-9d7d-48b1-a9b8-59ecba179041,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,23,Dr Abhishek Verma,usr_d2cd4258ca394bdd83c0,Abhishek Verma,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,dr-abhishek-verma,2bc3d747-4b9d-4aaf-bb94-2b157001c99f,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,24,Acharya Balkrishna,usr_067492b6eff64cce8447,Balkrishna,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,acharya-balkrishna,00d8c0cc-05c1-4b99-996c-29f030ec5ce4,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,25,Acharya Lokesh Muni Jain,usr_98bcf7c862784f2f8133,Lokesh Muni,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Justice & Peace,Justice & Peace,Justice & Peace,acharya-dr-lokesh-muni,e28f8eed-bad7-4c99-9b73-42503ed1c4f4,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,26,Hon'ble Smt Aditi Tatkare,usr_afb6af31a22744cdb090,Aditi Tatkare,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Youth & Women,Youth & Women,Youth & Women,hon-ble-smt-aditi-tatkare,a7826bf3-78da-4f10-8527-90a4a0c7a93a,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,27,Dr Aditya Vijay Kashyap,usr_c09e0655730547139a3c,Aditya Vijay Kashyap,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,dr-aditya-vijay-kashyap,a288aaae-4144-447b-9057-6d67fa965331,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,28,Adwik Bollineni,usr_a20e3c3d15a4460a9075,Adwik Bollineni,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,adwik-bollineni,155d978c-d012-4bc5-a86a-d8c5b5de1315,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,29,Ms Aishwarya Majmudar,usr_gw3yyz7egxucukpeby4r6fe6,Aishwarya Majmudar,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Artist & Literature,Artist & Literature,Artist & Literature,ms-aishwarya-majmudar,84b8e1c0-9c00-4278-9a53-fa41d91a36a2,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,30,Mr Akbar Khan,usr_c20ee509c6244321a47a,Akbar Khan,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Artist & Literature,Artist & Literature,Artist & Literature,mr-akbar-khan,6ea727cd-907b-46fc-8337-5e6458f81562,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,31,Mr Akbar Sami,usr_b1cd8a243e8f41d8baa5,Akbar Sami,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Artist & Literature,Artist & Literature,Artist & Literature,mr-akbar-sami,1e3b56fb-5210-4931-a3ce-9a7be8658ad8,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,32,Mr Akhil Gupta,usr_210efc41c48545d48549,Akhil Gupta,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Justice & Peace,Justice & Peace,Justice & Peace,mr-akhil-gupta,6d760aea-e86b-4e56-bdbe-dcd54055b5be,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,33,Mr Akhil Khanna,usr_j6l0wdo7vgfqwg65hvu80jdd,Akhil Khanna,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,mr-akhil-khanna,7b5acf46-31ce-45c2-988a-a88d36c37d4e,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,34,Ms Ameena Gurib-Fakim,usr_049fdc280ea446dab5c8,Ameena Gurib-Fakim,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Justice & Peace,Justice & Peace,Justice & Peace,ms-ameena-gurib-fakim,c23afe23-4b29-4320-88df-62ea6f16b26d,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,35,Mr Amit J. Dholakia,usr_edea9f7768bc4a02b85e,Amit J. Dholakia,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,mr-amit-j-dholakia,e0b594e4-a7e8-4347-a62b-f2883653a4c4,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
Medium,Pass subcategory differs,36,Mr Amit Jain,usr_e36046686a8040619921,Amit Jain,VIP I Am Peacekeeper Partner,VIP I Am Peacekeeper Partner,Business,I Am Peacekeeper Partner,I Am Peacekeeper Partner,mr-amit-jain,63a8a579-86fd-4af3-ba96-e1a1846d7baa,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,37,Mr Amrish Patel,usr_d5fd3ea284bc4c16ac91,Amrish Patel,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Education,Education,Education,mr-amrish-patel,55c0df0b-fae4-4ead-96de-a25ef690adf9,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,38,Andre Timmins,usr_ae979c07f65547d6ad4a,Andre Timmins,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,andre-timmins,e6f8dd5e-a34f-4def-94f5-e11ffec634c5,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,39,Hon'ble Shri Anna Bansode,usr_d1267b7023ef466f8c7f,Anna Bansode,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Justice & Peace,Justice & Peace,Justice & Peace,hon-ble-shri-anna-bansode,8b3fb815-dbf9-4e11-8bfc-3a7f37e9cccc,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,40,"Mr Anup Kumar Singh, IPS",usr_f9cea39f176c43dfa3de,"Anup Kumar Singh, IPS",VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Justice & Peace,Justice & Peace,Justice & Peace,mr-anup-kumar-singh-ips,f57ac8d7-bd71-4c35-9f65-c20abf05c0ab,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,41,Mr Arif Fazlani,usr_090a7464ec404fd2a1ee,Arif Fazlani,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Education,Education,Education,mr-arif-fazlani,218c5e3a-03db-4e75-aac4-09f28a186cb7,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,42,Dr Arshi Ayub,usr_s2d55z0cq2lprr3gyl2s18vp,Arshi Ayub,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,dr-arshi-ayub,ea55815c-bd10-4779-ab6e-9e2b3a1ec5e7,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,43,Ms Asha Sharma,usr_ff3c6fb077d6416d9623,Asha Sharma,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Housing,Housing,Housing,ms-asha-sharma,8577c600-265c-4594-a0c2-b454b563f461,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,44,Ashdeen Z. Lilaowala,usr_152d0c79ac724ae1ab72,Ashdeen Z. Lilaowala,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Artist & Literature,Artist & Literature,Artist & Literature,mr-ashdeen-z-lilaowala,b4b33766-5c37-415c-b34d-4d2b328c82bc,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,45,Mr Ashish Pednekar,usr_d13e89a393054cc090e0,Ashish Pednekar,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,mr-ashish-pednekar,88c29bbd-5871-4a6f-b880-42480aa1aaf1,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,46,Ashish Shelar,usr_614542f75df547e28838,Ashish Shelar,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Social Innovation,Social Innovation,Social Innovation,ashish-shelar,68a1814e-d58e-4952-b636-236c5731beea,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,47,Ashok Jiravala,usr_lx2w3v3nbyj22jml00fj8mju,Ashok Jiravala,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,ashok-jiravala,cebf708e-1be0-4859-bacf-22c2b808a24f,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,48,Mr Ashwin Sanghi,usr_b3o30qabycx3jgsjzd96a4ap,Ashwin Sanghi,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Artist & Literature,Artist & Literature,Artist & Literature,mr-ashwin-sanghi,f9de437e-7f80-4988-924f-49fbd2bf420f,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,49,Atul Nisar,usr_46eced5373844618b3ad,Atul Nisar,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,atul-nisar,46891f82-5f2e-46e2-b71d-dc95f83bf231,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,50,"Dr Avinash K. Dhakne, IAS",usr_055bf8d8576241a38d5e,Avinash K. Dhakne,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,City,,City,dr-avinash-k-dhakne,77390f2d-e99e-4720-8f16-5e2541f1bbb6,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs; Missing pass PDF,51,Ayaan Sood,usr_3f652e3706c44a9ba9e5,Ayaan Sood,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Social Innovation,Social Innovation,Social Innovation,ayaan-sood,6a2ba16d-b285-487d-a882-242767b9bcbc,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,52,Mr Basab B. Paul,usr_ef63f66d5b704feb9b3a,Basab B. Paul,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Environment,Environment,Environment,mr-basab-b-paul,e1904764-f486-4288-8187-07e4a2b1b6d6,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,53,Dr Bhagwat Kishanrao Karad,usr_177200d1c1cb496f9053,Bhagwat Kishanrao Karad,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Justice & Peace,Justice & Peace,Justice & Peace,dr-bhagwat-kishanrao-karad,caacdcc5-be24-4ae7-ab8f-06de879574eb,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,54,Mr Bharat Kakadia,usr_b9f8d44dc36a4523926d,Bharat Kakadia,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Business,Business,Business,mr-bharat-kakadia,4bce283f-cf11-482f-a22d-0fb6289b8be8,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
High,Pass tier/category differs,55,Mr Boman Irani,usr_28d86f33afce4f1aae2f,Boman Irani,VIP I Am Peacekeeper Partner,I Am Peacekeeper Champion,Artist & Literature,Artist & Literature,Artist & Literature,mr-boman-irani,92596db7-dfc4-4edd-9923-ff529d2b49d6,0,,Review in Passes/Guest detail. Do not force category changes where the match is uncertain.
